angleLH,angleRH,angleLL,angleRL,percentage,bar
230,118,108,157,0.0,668.0
235,109,102,147,0.0,668.0
229,123,114,159,0.0,668.0
233,86,109,119,0.0,668.0
233,65,107,121,0.0,668.0
228,96,111,138,0.0,668.0
239,59,106,116,0.0,668.0
235,58,104,112,0.0,668.0
241,56,105,111,0.0,668.0
240,56,104,112,0.0,668.0
237,57,106,110,0.0,668.0
229,61,108,121,0.0,668.0
246,57,103,110,0.0,668.0
234,60,106,127,0.0,668.0
270,55,108,110,0.0,668.0
249,60,105,126,0.0,668.0
234,58,104,121,0.0,668.0
244,58,103,108,0.0,668.0
228,61,107,139,0.0,668.0
246,59,104,125,0.0,668.0
242,56,105,116,0.0,668.0
248,59,103,120,0.0,668.0
236,56,104,114,0.0,668.0
234,59,106,124,0.0,668.0
243,59,103,126,0.0,668.0
238,62,102,132,0.0,668.0
242,60,107,153,0.0,668.0
260,65,108,161,0.0,668.0
249,61,108,158,0.0,668.0
238,60,108,154,0.0,668.0
246,60,109,154,0.0,668.0
269,60,113,257,0.0,668.0
249,57,114,237,0.0,668.0
239,63,110,156,0.0,668.0
251,59,113,243,0.0,668.0
249,58,114,249,0.0,668.0
261,65,112,166,0.0,668.0
259,59,110,148,0.0,668.0
244,59,108,116,0.0,668.0
244,59,108,117,0.0,668.0
261,61,108,126,0.0,668.0
227,62,107,121,0.0,668.0
242,58,108,118,0.0,668.0
229,61,105,124,0.0,668.0
236,59,105,114,0.0,668.0
227,60,105,117,0.0,668.0
231,55,104,109,0.0,668.0
227,59,105,107,0.0,668.0
217,61,103,117,0.0,668.0
207,59,105,107,0.0,668.0
193,60,113,97,0.0,668.0
177,58,116,93,0.0,668.0
167,56,123,80,0.0,668.0
150,53,118,73,0.0,668.0
165,56,119,76,0.0,668.0
166,55,120,75,0.0,668.0
164,60,117,82,0.0,668.0
156,57,121,86,0.0,668.0
172,55,116,84,0.0,668.0
183,61,121,101,0.0,668.0
187,55,119,95,0.0,668.0
197,60,113,133,0.0,668.0
243,61,108,130,0.0,668.0
268,60,106,133,0.0,668.0
268,64,116,104,0.0,668.0
258,63,115,104,0.0,668.0
268,63,116,100,0.0,668.0
280,64,117,109,0.0,668.0
264,66,115,121,0.0,668.0
263,62,116,108,0.0,668.0
249,63,104,142,0.0,668.0
262,64,108,147,0.0,668.0
247,62,107,146,0.0,668.0
281,58,105,123,0.0,668.0
253,62,105,135,0.0,668.0
249,62,106,143,0.0,668.0
255,62,105,141,0.0,668.0
242,63,105,147,0.0,668.0
237,64,114,91,0.0,668.0
266,66,116,112,0.0,668.0
233,65,117,101,0.0,668.0
228,63,113,95,0.0,668.0
230,67,116,114,0.0,668.0
255,62,104,136,0.0,668.0
257,65,116,104,0.0,668.0
237,64,113,90,0.0,668.0
251,62,103,126,0.0,668.0
260,58,102,105,0.0,668.0
250,60,101,102,0.0,668.0
308,59,95,167,0.0,668.0
328,56,85,144,0.0,668.0
343,36,75,64,0.0,668.0
349,40,56,67,0.0,668.0
348,34,49,82,0.0,668.0
346,35,40,61,0.0,668.0
347,33,50,74,0.0,668.0
342,34,59,77,0.0,668.0
344,35,49,66,0.0,668.0
348,35,46,59,0.0,668.0
346,33,48,75,0.0,668.0
352,34,45,66,0.0,668.0
347,35,58,82,0.0,668.0
347,33,56,77,0.0,668.0
346,36,70,96,0.0,668.0
350,35,65,82,0.0,668.0
350,41,69,78,0.0,668.0
348,40,78,92,0.0,668.0
348,35,77,84,0.0,668.0
352,40,71,97,0.0,668.0
352,39,64,81,0.0,668.0
348,40,78,94,0.0,668.0
349,38,70,83,0.0,668.0
324,34,88,122,0.0,668.0
318,35,95,172,0.0,668.0
324,33,90,168,0.0,668.0
314,33,83,145,0.0,668.0
323,33,87,80,0.0,668.0
323,32,83,102,0.0,668.0
319,35,80,99,0.0,668.0
296,35,75,101,0.0,668.0
317,38,72,94,0.0,668.0
321,38,76,101,0.0,668.0
323,40,84,101,0.0,668.0
329,40,82,100,0.0,668.0
335,39,82,108,0.0,668.0
331,41,84,128,0.0,668.0
264,61,94,184,0.0,668.0
261,62,86,147,0.0,668.0
249,63,99,119,0.0,668.0
250,65,103,126,0.0,668.0
239,60,102,101,0.0,668.0
258,62,103,128,0.0,668.0
248,63,101,111,0.0,668.0
241,64,106,128,0.0,668.0
245,63,104,117,0.0,668.0
248,65,109,124,0.0,668.0
241,65,108,128,0.0,668.0
244,63,101,116,0.0,668.0
247,64,104,125,0.0,668.0
246,64,98,115,0.0,668.0
253,60,105,109,0.0,668.0
241,63,100,115,0.0,668.0
236,62,102,110,0.0,668.0
244,64,104,118,0.0,668.0
244,64,102,121,0.0,668.0
240,64,100,111,0.0,668.0
267,64,103,123,0.0,668.0
254,62,102,109,0.0,668.0
252,65,103,117,0.0,668.0
235,63,101,119,0.0,668.0
241,63,104,127,0.0,668.0
247,63,103,120,0.0,668.0
234,66,98,127,0.0,668.0
234,62,106,120,0.0,668.0
241,61,100,109,0.0,668.0
236,65,102,139,0.0,668.0
238,63,99,125,0.0,668.0
246,62,102,113,0.0,668.0
234,62,105,116,0.0,668.0
238,64,101,122,0.0,668.0
229,65,102,125,0.0,668.0
244,64,103,128,0.0,668.0
240,62,103,118,0.0,668.0
244,62,103,111,0.0,668.0
245,62,100,116,0.0,668.0
238,64,94,114,0.0,668.0
247,63,104,127,0.0,668.0
254,62,102,112,0.0,668.0
241,60,103,120,0.0,668.0
240,63,98,120,0.0,668.0
265,59,100,111,0.0,668.0
263,62,103,125,0.0,668.0
239,63,101,120,0.0,668.0
236,63,97,122,0.0,668.0
241,63,104,126,0.0,668.0
247,60,98,109,0.0,668.0
243,66,102,135,0.0,668.0
236,62,99,123,0.0,668.0
250,62,100,123,0.0,668.0
239,67,100,97,0.0,668.0
233,72,103,103,0.0,668.0
226,73,99,104,0.0,668.0
235,70,97,90,0.0,668.0
236,72,99,100,0.0,668.0
239,69,100,93,0.0,668.0
242,69,99,94,0.0,668.0
228,73,97,103,0.0,668.0
234,75,93,86,0.0,668.0
241,67,97,87,0.0,668.0
233,70,96,87,0.0,668.0
231,70,99,96,0.0,668.0
234,67,96,85,0.0,668.0
249,73,98,97,0.0,668.0
239,73,99,95,0.0,668.0
234,72,97,90,0.0,668.0
237,72,97,95,0.0,668.0
240,70,101,94,0.0,668.0
236,67,93,88,0.0,668.0
239,68,98,92,0.0,668.0
241,69,100,87,0.0,668.0
237,68,103,101,0.0,668.0
237,71,97,92,0.0,668.0
239,71,99,98,0.0,668.0
239,68,100,95,0.0,668.0
244,69,100,103,0.0,668.0
237,71,92,95,0.0,668.0
238,69,103,97,0.0,668.0
237,70,101,93,0.0,668.0
243,70,98,93,0.0,668.0
239,71,94,92,0.0,668.0
238,70,98,97,0.0,668.0
240,72,95,93,0.0,668.0
231,66,100,87,0.0,668.0
240,70,98,102,0.0,668.0
238,69,101,93,0.0,668.0
235,65,99,95,0.0,668.0
240,71,96,96,0.0,668.0
231,66,98,101,0.0,668.0
233,67,99,93,0.0,668.0
233,69,97,96,0.0,668.0
241,71,100,96,0.0,668.0
246,71,99,105,0.0,668.0
234,69,96,87,0.0,668.0
233,70,96,97,0.0,668.0
230,71,99,104,0.0,668.0
236,68,98,110,0.0,668.0
234,64,99,104,0.0,668.0
241,68,101,114,0.0,668.0
233,67,100,116,0.0,668.0
232,69,97,110,0.0,668.0
224,70,95,116,0.0,668.0
228,68,99,122,0.0,668.0
229,71,102,123,0.0,668.0
224,68,101,110,0.0,668.0
232,68,101,117,0.0,668.0
228,68,101,109,0.0,668.0
230,67,100,111,0.0,668.0
224,69,99,117,0.0,668.0
231,68,99,116,0.0,668.0
236,69,103,119,0.0,668.0
232,68,97,105,0.0,668.0
234,67,94,104,0.0,668.0
228,67,99,114,0.0,668.0
230,67,96,101,0.0,668.0
235,69,99,132,0.0,668.0
226,66,101,108,0.0,668.0
231,64,97,106,0.0,668.0
224,65,105,110,0.0,668.0
225,65,105,111,0.0,668.0
232,63,97,98,0.0,668.0
231,63,97,100,0.0,668.0
225,66,103,109,0.0,668.0
231,67,104,114,0.0,668.0
239,60,100,98,0.0,668.0
239,63,97,113,0.0,668.0
229,65,98,100,0.0,668.0
237,64,96,97,0.0,668.0
233,62,97,99,0.0,668.0
238,60,100,98,0.0,668.0
235,67,99,112,0.0,668.0
238,62,95,96,0.0,668.0
234,63,101,107,0.0,668.0
230,65,99,103,0.0,668.0
237,63,98,100,0.0,668.0
235,63,98,99,0.0,668.0
237,63,98,92,0.0,668.0
234,67,96,102,0.0,668.0
242,66,101,108,0.0,668.0
235,65,96,98,0.0,668.0
